trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
980,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.76206217646315,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
981,False,"{'a': 0.5, 'e': 1.0}",20,13,-11.582696633883081,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
982,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.97129950122509,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
983,False,"{'a': 0.5, 'e': 1.0}",20,7,-58.18693363530714,"{0: 5, 1: 3, 2: 5, 3: 0, 4: 0}",1
984,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.19971397232838,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
985,False,"{'a': 0.5, 'e': 1.0}",20,9,-34.99143200303217,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
986,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.93777967690079,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
987,False,"{'a': 0.5, 'e': 1.0}",20,11,-22.437620676120456,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
988,False,"{'a': 0.5, 'e': 1.0}",20,3,-60.81248251293703,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 0}",1
989,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.6358424707829,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
990,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.28069438791148,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
991,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.98024101802666,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
992,False,"{'a': 0.5, 'e': 1.0}",20,13,-2.6837531042464295,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
993,False,"{'a': 0.5, 'e': 1.0}",20,2,-55.872781826708426,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 0}",1
994,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.12400938311774,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
995,False,"{'a': 0.5, 'e': 1.0}",20,8,-41.38048085821404,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
